Slide Name,Order,Sample,Species,Organ,Uploaded Name,Relavant_For_Analysis_Y_N
13829$2019-076-4$US$SCAN$OR$001 .svs,13829,2019-076-4,Human,Other,scanned/2021-02-12/13829$2019-076-4$US$SCAN$OR$001 .svs,
13829$2019-090-2$US$SCAN$OR$001 .svs,13829,2019-090-2,Human,Other,scanned/2021-02-12/13829$2019-090-2$US$SCAN$OR$001 .svs,
13829$2019-076-5$US$SCAN$OR$001 .svs,13829,2019-076-5,Human,Other,scanned/2021-02-12/13829$2019-076-5$US$SCAN$OR$001 .svs,
13829$2019-090-3$US$SCAN$OR$001 .svs,13829,2019-090-3,Human,Other,scanned/2021-02-12/13829$2019-090-3$US$SCAN$OR$001 .svs,
13829$2019-076-6$US$SCAN$OR$001 .svs,13829,2019-076-6,Human,Other,scanned/2021-02-12/13829$2019-076-6$US$SCAN$OR$001 .svs,
13829$2019-076-7$US$SCAN$OR$001 .svs,13829,2019-076-7,Human,Other,scanned/2021-02-12/13829$2019-076-7$US$SCAN$OR$001 .svs,
13829$2019-076-8$US$SCAN$OR$001 .svs,13829,2019-076-8,Human,Other,scanned/2021-02-12/13829$2019-076-8$US$SCAN$OR$001 .svs,
13829$2019-090-4$US$SCAN$OR$001 .svs,13829,2019-090-4,Human,Other,scanned/2021-02-12/13829$2019-090-4$US$SCAN$OR$001 .svs,
13829$2019-076-9$US$SCAN$OR$001 .svs,13829,2019-076-9,Human,Other,scanned/2021-02-12/13829$2019-076-9$US$SCAN$OR$001 .svs,
13829$2019-076-10$US$SCAN$OR$001 .svs,13829,2019-076-10,Human,Other,scanned/2021-02-12/13829$2019-076-10$US$SCAN$OR$001 .svs,
13829$2019-076-11$US$SCAN$OR$001 .svs,13829,2019-076-11,Human,Other,scanned/2021-02-12/13829$2019-076-11$US$SCAN$OR$001 .svs,
13829$2019-090-5$US$SCAN$OR$001 .svs,13829,2019-090-5,Human,Other,scanned/2021-02-12/13829$2019-090-5$US$SCAN$OR$001 .svs,
13829$2000-050-05$US$SCAN$OR$001 .svs,13829,2000-050-05,Human,Other,scanned/2021-02-12/13829$2000-050-05$US$SCAN$OR$001 .svs,
13829$2019-090-6$US$SCAN$OR$001 .svs,13829,2019-090-6,Human,Other,scanned/2021-02-12/13829$2019-090-6$US$SCAN$OR$001 .svs,
