,slidename,order,sample,notes
0,13829$2019-048-8$US$SCAN$OR$001 .svs,13829,2019-048-8,Immuno
0,13829$2019-048-10$US$SCAN$OR$001 .svs,13829,2019-048-10,Pentachrome
0,13829$2019-048-11$US$SCAN$OR$001 .svs,13829,2019-048-11,Control
0,13829$2019-022-9$US$SCAN$OR$001 .svs,13829,2019-022-9,Immuno
0,13829$2019-022-7$US$SCAN$OR$001 .svs,13829,2019-022-7,Control
0,13829$2019-054-6$US$SCAN$OR$001 .svs,13829,2019-054-6,Pentachrome
0,13829$2019-022-8$US$SCAN$OR$001 .svs,13829,2019-022-8,Pentachrome
0,13829$2019-054-7$US$SCAN$OR$001 .svs,13829,2019-054-7,Control
0,13829$2019-054-8$US$SCAN$OR$001 .svs,13829,2019-054-8,Immuno
0,13829$2019-022-10$US$SCAN$OR$001 .svs,13829,2019-022-10,Immuno
0,13829$2019-022-11$US$SCAN$OR$001 .svs,13829,2019-022-11,Immuno
0,13829$2019-054-9$US$SCAN$OR$001 .svs,13829,2019-054-9,Immuno
0,13829$2019-054-10$US$SCAN$OR$001 .svs,13829,2019-054-10,Immuno
0,13829$2020-013-9$US$SCAN$OR$001 .svs,13829,2020-013-9,Immuno
0,13829$2020-013-10$US$SCAN$OR$001 .svs,13829,2020-013-10,Immuno
0,13829$2020-013-11$US$SCAN$OR$001 .svs,13829,2020-013-11,Immuno
0,13829$2019-055-7$US$SCAN$OR$001 .svs,13829,2019-055-7,Pentachrome
0,13829$2019-055-8$US$SCAN$OR$001 .svs,13829,2019-055-8,Immuno
0,13829$2019-055-9$US$SCAN$OR$001 .svs,13829,2019-055-9,Immuno
0,13829$2020-007-7$US$SCAN$OR$001 .svs,13829,2020-007-7,Control
0,13829$2020-007-8$US$SCAN$OR$001 .svs,13829,2020-007-8,Pentachrome
0,13829$2019-055-10$US$SCAN$OR$001 .svs,13829,2019-055-10,Immuno
0,13829$2020-007-10$US$SCAN$OR$001 .svs,13829,2020-007-10,Immuno
0,13829$2020-007-11$US$SCAN$OR$001 .svs,13829,2020-007-11,Immuno
0,13829$2020-013-7$US$SCAN$OR$001 .svs,13829,2020-013-7,Control
0,13829$2020-008-17$US$SCAN$OR$001 .svs,13829,2020-008-17,Immuno
0,13829$2020-008-15$US$SCAN$OR$001 .svs,13829,2020-008-15,Control
0,13829$2020-008-20$US$SCAN$OR$001 .svs,13829,2020-008-20,Control
0,13829$2020-008-16$US$SCAN$OR$001 .svs,13829,2020-008-16,Immuno
0,13829$2020-008-18$US$SCAN$OR$001 .svs,13829,2020-008-18,Immuno
0,13829$2020-008-19$US$SCAN$OR$001 .svs,13829,2020-008-19,Immuno
0,13829$2020-008-21$US$SCAN$OR$001 .svs,13829,2020-008-21,Control
0,13829$2020-005-7$US$SCAN$OR$001 .svs,13829,2020-005-7,Pentachrome
0,13829$2020-005-8$US$SCAN$OR$001 .svs,13829,2020-005-8,Control
0,13829$2020-008-7$US$SCAN$OR$001 .svs,13829,2020-008-7,Pentachrome
0,13829$2020-005-9$US$SCAN$OR$001 .svs,13829,2020-005-9,Immuno
0,13829$2020-005-10$US$SCAN$OR$001 .svs,13829,2020-005-10,Immuno
0,13829$2020-005-11$US$SCAN$OR$001 .svs,13829,2020-005-11,Immuno
0,13829$2020-005-12$US$SCAN$OR$001 .svs,13829,2020-005-12,Control
0,13829$2020-025-7$US$SCAN$OR$001 .svs,13829,2020-025-7,Pentachrome
